"BehaviorSpace results (NetLogo 6.2.0)"
"temp.nlogo"
"random-bias"
"12/14/2021 18:37:18:785 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","max-influencers","random-bias-threshold","bias-type","total-users","max-connections","[step]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]"
"76","15","0.2","random-bias","500","25","3","0.44072164948453607","0.5798969072164949"
"76","15","0.2","random-bias","500","25","4","0.4551422319474836","0.5995623632385121"
"76","15","0.2","random-bias","500","25","5","0.4592274678111588","0.6030042918454935"
"78","15","0.2","random-bias","500","25","0","0","0"
"79","15","0.2","random-bias","500","25","0","0","0"
"83","15","0.2","random-bias","500","25","0","0","0"
"79","15","0.2","random-bias","500","25","1","0.6179775280898876","0.8089887640449438"
"83","15","0.2","random-bias","500","25","1","0.125","0.15625"
"78","15","0.2","random-bias","500","25","1","0.5208333333333334","0.6458333333333334"
"83","15","0.2","random-bias","500","25","2","0.06451612903225806","0.08064516129032258"
"78","15","0.2","random-bias","500","25","2","0.40932642487046633","0.5233160621761658"
