"BehaviorSpace results (NetLogo 6.2.0)"
"temp.nlogo"
"influencer-bias"
"12/14/2021 18:44:29:215 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","max-influencers","bias-type","total-users","max-connections","[step]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]"
"69","15","influencer-bias","500","25","3","0.3041095890410959","0.38904109589041097"
"68","15","influencer-bias","500","25","1","0.5483870967741935","0.5483870967741935"
"69","15","influencer-bias","500","25","4","0.3025","0.385"
"69","15","influencer-bias","500","25","5","0.29927007299270075","0.3819951338199513"
"69","15","influencer-bias","500","25","6","0.30097087378640774","0.38349514563106796"
"69","15","influencer-bias","500","25","7","0.30120481927710846","0.38313253012048193"
"69","15","influencer-bias","500","25","8","0.3004807692307692","0.38221153846153844"
"70","15","influencer-bias","500","25","0","0","0"
"70","15","influencer-bias","500","25","1","0.275","0.275"
"68","15","influencer-bias","500","25","2","0.453125","0.534375"
"71","15","influencer-bias","500","25","0","0","0"
"70","15","influencer-bias","500","25","2","0.10232558139534884","0.10232558139534884"
"71","15","influencer-bias","500","25","1","0.35294117647058826","0.35294117647058826"
"68","15","influencer-bias","500","25","3","0.46813186813186813","0.5736263736263736"
"68","15","influencer-bias","500","25","4","0.46511627906976744","0.572938689217759"
"73","15","influencer-bias","500","25","0","0","0"
"71","15","influencer-bias","500","25","2","0.29207920792079206","0.3316831683168317"
"73","15","influencer-bias","500","25","1","0.8269230769230769","0.8269230769230769"
"68","15","influencer-bias","500","25","5","0.4652631578947368","0.5726315789473684"
"75","15","influencer-bias","500","25","0","0","0"
"75","15","influencer-bias","500","25","1","0.8584905660377359","0.8584905660377359"
"74","15","influencer-bias","500","25","0","0","0"
"73","15","influencer-bias","500","25","2","0.6891891891891891","0.8141891891891891"
"71","15","influencer-bias","500","25","3","0.3098159509202454","0.37116564417177916"
"74","15","influencer-bias","500","25","1","0.7647058823529411","0.7647058823529411"
"71","15","influencer-bias","500","25","4","0.3092269326683292","0.3915211970074813"
"73","15","influencer-bias","500","25","3","0.6853002070393375","0.8033126293995859"
"71","15","influencer-bias","500","25","5","0.3229665071770335","0.4043062200956938"
"71","15","influencer-bias","500","25","6","0.3247058823529412","0.4047058823529412"
"73","15","influencer-bias","500","25","4","0.6869918699186992","0.806910569105691"
"71","15","influencer-bias","500","25","7","0.323943661971831","0.40375586854460094"
"75","15","influencer-bias","500","25","2","0.6330049261083743","0.7980295566502463"
"75","15","influencer-bias","500","25","3","0.6361746361746362","0.8212058212058212"
"74","15","influencer-bias","500","25","2","0.6366459627329193","0.7453416149068323"
